a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficients,a4_coefficients,b1,b2,b1_coefficients,b2_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,ETL_stack_sequence,ETL_thickness,HTL_stack_sequence,HTL_additives_compounds,Perovskite_deposition_solvents,JV_default_PCE
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.43,2.57,,100,60,TiO2-c | TiO2-mp,15.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.1
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.43,2.57,,100,60,TiO2-c | TiO2-mp,15.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.3
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.43,2.57,,100,60,TiO2-c | TiO2-mp,15.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.3
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.43,2.57,,100,60,TiO2-c | TiO2-mp,15.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,18
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.43,2.57,,100,60,TiO2-c | TiO2-mp,15.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.7
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.43,2.57,,100,60,TiO2-c | TiO2-mp,15.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.3
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.43,2.57,,100,60,TiO2-c | TiO2-mp,15.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.2
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,120,10,SnO2-np,10,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.95
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,120,10,SnO2-np | OEABS,10.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19.82
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,120,10,SnO2-np | MSAPBS,10.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,21.18
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,TiO2-c,112,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,5.62
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,TiO2-c,112,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,2.94
Cs, FA, MA,,0.05,0.8075,0.1425,,Pb,,1,,Br, I,,0.45,2.55,,100,60,TiO2-c | TiO2-mp,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,19.3
Cs, FA, MA,,0.05,0.8075,0.1425,,Pb,,1,,Br, I,,0.45,2.55,,100,60,TiO2-c | TiO2-mp,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,20.1
Cs, FA, MA,,0.05,0.8075,0.1425,,Pb,,1,,Br, I,,0.45,2.55,,100,60,TiO2-c | TiO2-mp,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,19.8
Cs, FA, MA,,0.05,0.8075,0.1425,,Pb,,1,,Br, I,,0.45,2.55,,100,60,TiO2-c | TiO2-mp,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,20.5
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,55; 240,1.0; 1.0,SnO2-np,40,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,12.3
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,55; 240,1.0; 1.0,SnO2-np | PN4N,40.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,15.1
Cs, FA, MA,,0.1,0.1,0.8,,Pb,,1,,I,,,3,,,100,10,PDIN,15,PTAA,F4-TCNQ,DMF,12.01
Cs, FA, MA,,0.1,0.1,0.8,,Pb,,1,,I,,,3,,,100,10,PDIN,30,PTAA,F4-TCNQ,DMF,15.2
Cs, FA, MA,,0.1,0.1,0.8,,Pb,,1,,I,,,3,,,100,10,PDIN,40,PTAA,F4-TCNQ,DMF,14.47
Cs, FA, MA,,0.1,0.1,0.8,,Pb,,1,,I,,,3,,,100,10,PDIN,50,PTAA,F4-TCNQ,DMF,14.33
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.47,2.53,,100,60,TiO2-c | TiO2-mp,30.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19.5
Cs, FA, MA,,0.05,0.8,0.15,,Pb,,1,,Br, I,,0.47,2.53,,100,60,TiO2-c | TiO2-mp,30.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,21.1
Cs, MA,,,0.05,0.95,,,Pb,,1,,I,,,3,,,100,10,PCBM-60 | BCP,80.0 | nan,PTAA,Li-TFSI; TBP,DMF,14.9
Cs, MA,,,0.05,0.95,,,Pb,,1,,I,,,3,,,100,10,C60; C70 | BCP,80.0 | nan,PTAA,Li-TFSI; TBP,DMF,16.6
Cs, MA,,,0.05,0.95,,,Pb,,1,,I,,,3,,,100,10,C60 | BCP,80,PTAA,Li-TFSI; TBP,DMF,13.8
Cs, MA,,,0.05,0.95,,,Pb,,1,,I,,,3,,,100,10,C70 | BCP,80.0 | nan,PTAA,Li-TFSI; TBP,DMF,13.9
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,100,50,SnO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.61
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,100,50,SnO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.6
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,100,50,SnO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,20.09
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,100,50,SnO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,20.4
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,110,15,TiO2-c,60,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.47
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,110,15,TiO2-c,60,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19.08
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,65; 100,3.0; 2.0,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,16.02
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,65; 100,3.0; 2.0,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.6
Cs, FA,,,0.1,0.9,,,Pb,,1,,I,,,3,,,70.0 >> 150.0,10.0 >> 10.0,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; TBP >> IPA,12.7
Cs, FA,,,0.2,0.8,,,Pb,,1,,I,,,3,,,70.0 >> 150.0,10.0 >> 10.0,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; TBP >> IPA,14.7
Cs, FA,,,0.3,0.7,,,Pb,,1,,I,,,3,,,70.0 >> 150.0,10.0 >> 10.0,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; TBP >> IPA,6.27
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.8
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.8
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,SnO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.38
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,SnO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.56
