a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficients,a4_coefficients,b1,b2,b1_coefficients,b2_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,ETL_stack_sequence,ETL_thickness,HTL_stack_sequence,HTL_additives_compounds,Perovskite_deposition_solvents,JV_default_PCE
MA,,,,1,,,,Pb,,1,,I,,,3,,,60; 100,1.0; 5.0,Li4SiW12O40,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,12.68
MA,,,,1,,,,Pb,,1,,I,,,3,,,60; 100,1.0; 5.0,Li4SiW12O40,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.21
MA,,,,1,,,,Pb,,1,,I,,,3,,,60; 100,1.0; 5.0,Li4SiW12O40,80,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.07
MA,,,,1,,,,Pb,,1,,I,,,3,,,60; 100,1.0; 5.0,Li4SiW12O40,100,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,12.08
MA,,,,1,,,,Pb,,1,,I,,,3,,,60; 100,1.0; 5.0,Li4SiW12O40,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.26
MA,,,,1,,,,Pb,,1,,I,,,3,,,60; 100,1.0; 5.0,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,12.27
MA,,,,1,,,,Pb,,1,,I,,,3,,,60; 100,1.0; 5.0,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.22
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 150.0,1.0 >> 20.0,TiO2-c | TiO2-mp,60.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,15.97
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 150.0,1.0 >> 20.0,TiO2-c | TiO2-mp,60.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,13.49
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 150.0,1.0 >> 20.0,TiO2-c | TiO2-mp,60.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,12.18
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 150.0,1.0 >> 20.0,TiO2-c | TiO2-mp,60.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,12.38
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 150.0,1.0 >> 20.0,TiO2-c | TiO2-mp,60.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,11.38
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,13.03
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,15.06
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,15.63
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,16.85
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,15.76
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,18.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,16.58
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,15.84
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,17.25
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,16.38
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,14.72
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,15.54
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,13.84
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,16.43
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,14.96
MA,,,,1,,,,Pb,,1,,I,,,3,,,80,20,TiO2-c | TiO2-mp,30.0 | 200.0,"cyclopenta[2,1-b; 3,4-b′]dithiophene",Li-TFSI; TBP,DMSO; GBL,13.61
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF,14.59
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF,19.29
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.46
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF,15.89
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF,15.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF,13.12
MA,,,,1,,,,Pb,,1,,I,,,3,,,60 >> 100,10.0 >> 20.0,TiO2-c | TiO2-mp,70.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO >> none,16.4
MA,,,,1,,,,Pb,,1,,I,,,3,,,60 >> 100,10.0 >> 20.0,TiO2-c | TiO2-mp,70.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO >> none,14.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,60 >> 100,10.0 >> 20.0,TiO2-c | TiO2-mp,70.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO >> none,17.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,60 >> 100,10.0 >> 20.0,TiO2-c | TiO2-mp,70.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,14.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nt,30.0 | 386.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,15.12
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-mp,30.0 | 386.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,13.43
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,12.17
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,10.36
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,10.23
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,10.19
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,10.37
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,11.7
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,12.13
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,11.98
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,12.33
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,11.65
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,20.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,9.71
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,Carbon-nano onions,DMF,13.11
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,Carbon-nano onions,DMF,14.04
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,ox-Carbon-nano onions,DMF,14.48
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,ox-Carbon-nano onions,DMF,15.26
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,Carbon-nano onions,DMF,12.03
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,Carbon-nano onions,DMF,13.06
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,Carbon-nano onions,DMF,13.93
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,Carbon-nano onions,DMF,14.04
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,Carbon-nano onions,DMF,13.16
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,ox-Carbon-nano onions,DMF,12.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,ox-Carbon-nano onions,DMF,13.36
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,ox-Carbon-nano onions,DMF,15.26
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,ox-Carbon-nano onions,DMF,14.01
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,PCBM-60 | Bphen,40.0 | 2.0,PEDOT:PSS,ox-Carbon-nano onions,DMF,13.05
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,208.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,11.75
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,141.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.59
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,76.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.69
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,44.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.74
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,20.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.56
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,nan | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.58
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,nan | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.39
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,nan | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,65; 100,1.0; 2.0,TiO2-c | TiO2-mp,nan | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.07
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-mp,50.0 | 250.0,DEPT-SC,Li-TFSI; TBP,DMF >> IPA,5.18
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-mp,50.0 | 250.0,DEPT-SC,F4-TCNQ,DMF >> IPA,11.52
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,13.15
MA,,,,1,,,,Pb,,1,,I,,,3,,,110,30,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,10.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,110,30,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,8
MA,,,,1,,,,Pb,,1,,I,,,3,,,110,30,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,10.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,130,20,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,3.7
MA,,,,1,,,,Pb,,1,,I,,,3,,,130,20,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,5.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,16.77
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.11
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.44
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,20.02
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,16.91
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.46
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.36
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.95
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,19.75
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,15.12
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,19.91
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,19.13
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,19.05
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.15
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.04
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.38
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.36
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,16.67
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.73
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.31
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.22
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,16.55
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,18.82
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,16.92
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,17.54
MA,,,,1,,,,Pb,,1,,I,,,3,,,120,60,TiO2-c | TiO2-mp,120.0 | 700.0,P3HT,Li-TFSI; TBP,DMF,6.6
MA,,,,1,,,,Pb,,1,,I,,,3,,,120,60,TiO2-c | TiO2-mp,120.0 | 700.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,5.9
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,131.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,7.03
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,100.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,8.77
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,64.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,11.27
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,56.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,11.17
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,90.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,10.57
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,72.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,11.69
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,58.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,13.54
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,44.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,13.3
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,88.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,12.16
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,74.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,12.99
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,52.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,15.62
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,34.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,15.09
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,16.97
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,14.01
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,5.0 >> 5.0,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,12.54
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,2,TiO2-c,50,PTAA,Li-TFSI; TBP,DMF,15.9
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,2,TiO2-c,50,PTAA,Li-TFSI; TBP,DMF,15.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,2,TiO2-c,50,PTAA,Li-TFSI; TBP,DMF,14.6
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,2,TiO2-c,50,PTAA,Li-TFSI; TBP,DMF,14.4
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,2,TiO2-c,50,PTAA,Li-TFSI; TBP,DMF,13.3
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,2,TiO2-c,50,PTAA,Li-TFSI; TBP,DMF,12.6
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,7.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,8.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,9
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,9.7
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,8.4
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,8
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,9
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,9.7
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,10.6
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,9.3
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,11.47
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c,20,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.38
MA,,,,1,,,,Pb,,1,,I,,,3,,,60.0 >> 100.0,5.0 >> 45.0,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,12.55
MA,,,,1,,,,Pb,,1,,I,,,3,,,60.0 >> 100.0,5.0 >> 45.0,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,14.94
MA,,,,1,,,,Pb,,1,,I,,,3,,,60.0 >> 100.0,5.0 >> 45.0,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO >> IPA,13.31
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-np,17.0 | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,10
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-np,17.0 | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,14.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-np,17.0 | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,15.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,42,Spiro-MeOTAD,Li-TFSI; TBP,DMF,10.16
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,62,Spiro-MeOTAD,Li-TFSI; TBP,DMF,13.18
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,75,Spiro-MeOTAD,Li-TFSI; TBP,DMF,15.66
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,75,Spiro-MeOTAD,Li-TFSI; TBP,DMF,14.01
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,100,Spiro-MeOTAD,Li-TFSI; TBP,DMF,11.03
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,170,Spiro-MeOTAD,Li-TFSI; TBP,DMF,5.56
